s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
 5.4900824E+002, 1.9666722E+003,-7.4083316E+002,-2.7184206E+002,-7.3655433E+002,-2.4092338E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0574793E+002, 2.1720176E+002, 4.2932142E-002, 4.2932142E-002
 5.5081000E+002, 2.0422071E+003,-7.7179715E+002,-2.8055197E+002,-7.4226189E+002,-2.4200272E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2824037E+002, 2.4735414E+002, 4.3213946E-002, 4.3213946E-002
 5.5261353E+002, 1.9848900E+003,-7.7204113E+002,-2.9306488E+002,-7.5098886E+002,-2.4395586E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5699020E+002, 1.6855116E+002, 4.3497755E-002, 4.3497755E-002
 5.5441852E+002, 2.0167770E+003,-7.6821543E+002,-3.1524143E+002,-7.5884780E+002,-2.4504563E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6260313E+002, 1.7422729E+002, 4.3782748E-002, 4.3782748E-002
 5.5621826E+002, 2.0331537E+003,-7.9017797E+002,-2.6392697E+002,-7.5789024E+002,-2.4735913E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0996682E+002, 2.2091113E+002, 4.4068204E-002, 4.4068204E-002
 5.5801318E+002, 2.0488713E+003,-7.7815895E+002,-3.1255174E+002,-7.5225199E+002,-2.4842232E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9203811E+002, 2.0566022E+002, 4.4354003E-002, 4.4354003E-002
 5.5980402E+002, 2.0917115E+003,-8.1184517E+002,-2.7524662E+002,-7.6308939E+002,-2.5012599E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2766033E+002, 2.4128020E+002, 4.4639879E-002, 4.4639879E-002
 5.6161841E+002, 2.0800088E+003,-8.0750353E+002,-2.8411591E+002,-7.7078999E+002,-2.5207162E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0904555E+002, 2.1734724E+002, 4.4928371E-002, 4.4928371E-002
 5.6341650E+002, 2.0426915E+003,-8.1164759E+002,-3.0325598E+002,-7.7665650E+002,-2.5276600E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3547162E+002, 1.5087862E+002, 4.5218261E-002, 4.5218261E-002
 5.6520032E+002, 2.0974196E+003,-8.2772720E+002,-3.0587483E+002,-7.8289849E+002,-2.5391494E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6913849E+002, 1.8066516E+002, 4.5506646E-002, 4.5506646E-002
 5.6700702E+002, 2.1175044E+003,-8.2290346E+002,-3.0413933E+002,-7.8731443E+002,-2.5579736E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9167580E+002, 2.0289139E+002, 4.5796614E-002, 4.5796614E-002
 5.6880347E+002, 2.1449380E+003,-8.3773993E+002,-3.1090107E+002,-7.9135374E+002,-2.5749515E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9293133E+002, 2.0468572E+002, 4.6088612E-002, 4.6088612E-002
 5.7061676E+002, 2.1446283E+003,-8.6995844E+002,-3.2959353E+002,-7.9447141E+002,-2.5986468E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3798210E+002, 1.5034502E+002, 4.6381984E-002, 4.6381984E-002
 5.7240875E+002, 2.1508187E+003,-8.5628217E+002,-2.9463318E+002,-7.9933872E+002,-2.6139053E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8839874E+002, 2.0030320E+002, 4.6675925E-002, 4.6675925E-002
 5.7420380E+002, 2.1490747E+003,-8.4097918E+002,-3.3425671E+002,-8.0904305E+002,-2.6271419E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5527362E+002, 1.6453309E+002, 4.6969360E-002, 4.6969360E-002
 5.7600702E+002, 2.1933359E+003,-8.7047559E+002,-3.1603468E+002,-8.0073437E+002,-2.6494464E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0381595E+002, 2.0582628E+002, 4.7264618E-002, 4.7264618E-002
 5.7780188E+002, 2.1908380E+003,-8.8685155E+002,-2.9289001E+002,-8.1444196E+002,-2.6568961E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9024621E+002, 1.9638879E+002, 4.7560665E-002, 4.7560665E-002
 5.7960504E+002, 2.1700295E+003,-8.7569805E+002,-3.3426548E+002,-8.1464426E+002,-2.6643975E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2948627E+002, 1.4515528E+002, 4.7857787E-002, 4.7857787E-002
 5.8140845E+002, 2.2647719E+003,-8.7977468E+002,-3.1591459E+002,-8.1452854E+002,-2.6826447E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4441265E+002, 2.5428579E+002, 4.8156547E-002, 4.8156547E-002
 5.8320917E+002, 2.2180136E+003,-8.6566411E+002,-3.5213595E+002,-8.0574545E+002,-2.7003016E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8344712E+002, 1.9419809E+002, 4.8456024E-002, 4.8456024E-002
 5.8500549E+002, 2.2530540E+003,-8.9513379E+002,-3.1785882E+002,-8.1616456E+002,-2.7064241E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1522898E+002, 2.2362614E+002, 4.8755819E-002, 4.8755819E-002
 5.8680200E+002, 2.2575127E+003,-8.8030764E+002,-3.3061597E+002,-8.2633451E+002,-2.7251144E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0090650E+002, 2.1998209E+002, 4.9056151E-002, 4.9056151E-002
 5.8861316E+002, 2.2859066E+003,-8.7933612E+002,-3.4030345E+002,-8.2163994E+002,-2.7534190E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3627656E+002, 2.4435171E+002, 4.9358588E-002, 4.9358588E-002
 5.9041425E+002, 2.2799887E+003,-9.3261205E+002,-3.1177177E+002,-8.3612252E+002,-2.7637929E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8512560E+002, 1.9920600E+002, 4.9662424E-002, 4.9662424E-002
 5.9220038E+002, 2.3370599E+003,-9.3264861E+002,-3.6416878E+002,-8.3606512E+002,-2.7801064E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9010653E+002, 2.0389935E+002, 4.9965126E-002, 4.9965126E-002
 5.9400781E+002, 2.2964433E+003,-9.1121723E+002,-3.4305450E+002,-8.4656190E+002,-2.7966707E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.8269146E+002, 1.9532995E+002, 5.0269197E-002, 5.0269197E-002
 5.9581561E+002, 2.3621905E+003,-9.4444541E+002,-3.5940586E+002,-8.4549110E+002,-2.8202143E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0136652E+002, 2.1256616E+002, 5.0576070E-002, 5.0576070E-002
 5.9760626E+002, 2.2927801E+003,-9.0643613E+002,-3.5214841E+002,-8.6491501E+002,-2.8200365E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5810456E+002, 1.6899854E+002, 5.0882488E-002, 5.0882488E-002
 5.9940454E+002, 2.4281600E+003,-9.6946492E+002,-3.1330391E+002,-8.6096808E+002,-2.8499020E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7582555E+002, 2.8413813E+002, 5.1189051E-002, 5.1189051E-002
 6.0121039E+002, 2.3257453E+003,-9.3924097E+002,-3.9641600E+002,-8.7075461E+002,-2.8630158E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2185165E+002, 1.1904744E+002, 5.1426895E-002, 5.1426895E-002
 6.0300232E+002, 2.3812897E+003,-9.7196543E+002,-3.2234580E+002,-8.7798325E+002,-2.8575328E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9669349E+002, 2.0870942E+002, 5.1443126E-002, 5.1443126E-002
 6.0480731E+002, 2.3417007E+003,-9.6562901E+002,-3.5635815E+002,-8.7512740E+002,-2.8517895E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3813536E+002, 1.4430093E+002, 5.1443126E-002, 5.1443126E-002
 6.0660400E+002, 2.3652513E+003,-9.9336901E+002,-3.2734857E+002,-8.6433882E+002,-2.8524626E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6593477E+002, 1.7990965E+002, 5.1443126E-002, 5.1443126E-002
 6.0840930E+002, 2.3908027E+003,-9.8350350E+002,-3.6907871E+002,-8.7387629E+002,-2.8529507E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5619600E+002, 1.6405896E+002, 5.1443126E-002, 5.1443126E-002
 6.1021283E+002, 2.3887517E+003,-9.7595059E+002,-3.6712743E+002,-8.7623211E+002,-2.8585146E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5421003E+002, 1.6915571E+002, 5.1443126E-002, 5.1443126E-002
 6.1201929E+002, 2.3829875E+003,-9.9783436E+002,-3.7843241E+002,-8.8119235E+002,-2.8552042E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1297101E+002, 1.2524283E+002, 5.1443126E-002, 5.1443126E-002
 6.1381079E+002, 2.3885843E+003,-9.9482166E+002,-3.6313321E+002,-8.7915267E+002,-2.8648178E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5089290E+002, 1.5119025E+002, 5.1443126E-002, 5.1443126E-002
 6.1561267E+002, 2.3606177E+003,-9.8706291E+002,-3.6456395E+002,-8.8516717E+002,-2.8698841E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2341717E+002, 1.2353665E+002, 5.1443126E-002, 5.1443126E-002
 6.1740149E+002, 2.3439704E+003,-9.5014460E+002,-3.6591930E+002,-8.7809237E+002,-2.8601005E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3649063E+002, 1.4952812E+002, 5.1443126E-002, 5.1443126E-002
 6.1920538E+002, 2.3997074E+003,-9.7304714E+002,-3.7615030E+002,-8.7172299E+002,-2.8674841E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6992311E+002, 1.7850020E+002, 5.1443126E-002, 5.1443126E-002
 6.2100958E+002, 2.3623879E+003,-9.5680358E+002,-4.3455227E+002,-8.7614783E+002,-2.8610134E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0869149E+001, 9.4598156E+001, 5.1443126E-002, 5.1443126E-002
 6.2281610E+002, 2.3577045E+003,-9.5141983E+002,-3.6197508E+002,-8.8377935E+002,-2.8552759E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5256729E+002, 1.6024473E+002, 5.1443126E-002, 5.1443126E-002
 6.2460297E+002, 2.3759872E+003,-9.4642904E+002,-4.0394135E+002,-8.8398060E+002,-2.8597308E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3006954E+002, 1.4135021E+002, 5.1443126E-002, 5.1443126E-002
 6.2640167E+002, 2.3941768E+003,-9.6949646E+002,-3.9916308E+002,-8.8687969E+002,-2.8735648E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3017393E+002, 1.3835024E+002, 5.1443126E-002, 5.1443126E-002
 6.2822058E+002, 2.3699373E+003,-9.4328850E+002,-4.1760355E+002,-8.8064435E+002,-2.8588051E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1499365E+002, 1.2811505E+002, 5.1443126E-002, 5.1443126E-002
 6.3001874E+002, 2.3761145E+003,-9.7784411E+002,-4.1560326E+002,-9.0560897E+002,-2.8731481E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.5712778E+001, 7.6770852E+001, 5.1443126E-002, 5.1443126E-002
 6.3181036E+002, 2.3883931E+003,-9.8357966E+002,-3.9986211E+002,-8.9914205E+002,-2.8602608E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1025118E+001, 1.0552325E+002, 5.1443126E-002, 5.1443126E-002
 6.3361090E+002, 2.3786326E+003,-9.6704402E+002,-3.9211804E+002,-9.0402011E+002,-2.8702174E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0835887E+002, 1.1516343E+002, 5.1443126E-002, 5.1443126E-002
 6.3540424E+002, 2.3604535E+003,-9.3785248E+002,-4.0356765E+002,-8.9176430E+002,-2.8531732E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1528859E+002, 1.2698372E+002, 5.1443126E-002, 5.1443126E-002
 6.3721143E+002, 2.3404988E+003,-9.4197717E+002,-4.2908067E+002,-8.9538305E+002,-2.8416934E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1988242E+001, 7.3773785E+001, 5.1443126E-002, 5.1443126E-002
 6.3901184E+002, 2.3798251E+003,-9.8996781E+002,-4.2936719E+002,-8.9084624E+002,-2.8449974E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8007081E+001, 6.9359335E+001, 5.1443126E-002, 5.1443126E-002
 6.4080243E+002, 2.3642335E+003,-9.5011399E+002,-4.0917850E+002,-8.8888447E+002,-2.8481221E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.9825736E+001, 1.1577169E+002, 5.1443126E-002, 5.1443126E-002
 6.4260596E+002, 2.3513700E+003,-9.7202887E+002,-4.2226865E+002,-8.9012309E+002,-2.8435730E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8052754E+001, 6.6665073E+001, 5.1443126E-002, 5.1443126E-002
 6.4441882E+002, 2.4208712E+003,-9.9049030E+002,-4.0406622E+002,-8.9552578E+002,-2.8599245E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1688452E+002, 1.3050287E+002, 5.1443126E-002, 5.1443126E-002
 6.4621002E+002, 2.3446973E+003,-9.8750972E+002,-3.9606181E+002,-9.0182430E+002,-2.8610685E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0764807E+001, 5.9015407E+001, 5.1443126E-002, 5.1443126E-002
 6.4800372E+002, 2.3843809E+003,-9.5779387E+002,-3.8590680E+002,-8.8978970E+002,-2.8574280E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3689551E+002, 1.5060482E+002, 5.1443126E-002, 5.1443126E-002
 6.4980713E+002, 2.3494049E+003,-9.6521057E+002,-4.6089350E+002,-9.0258984E+002,-2.8580805E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.7616674E+000, 2.0425196E+001, 5.1443126E-002, 5.1443126E-002
 6.5161700E+002, 2.3790029E+003,-9.9628720E+002,-3.9860795E+002,-8.9730419E+002,-2.8522978E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2303196E+001, 8.6518274E+001, 5.1443126E-002, 5.1443126E-002
 6.5340741E+002, 2.4111478E+003,-1.0319356E+003,-4.2783268E+002,-9.0882687E+002,-2.8583827E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1169064E+001, 4.2266871E+001, 5.1443126E-002, 5.1443126E-002
 6.5520477E+002, 2.3654138E+003,-9.9663839E+002,-4.1936159E+002,-9.2150533E+002,-2.8649786E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2583685E+001, 2.7622033E+001, 5.1443126E-002, 5.1443126E-002
 6.5701898E+002, 2.3761630E+003,-1.0056952E+003,-4.4082766E+002,-9.1744374E+002,-2.8650143E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9254885E+000, 1.1909863E+001, 5.1443126E-002, 5.1443126E-002
 6.5881671E+002, 2.3640684E+003,-1.0249445E+003,-4.3610171E+002,-9.1753390E+002,-2.8655329E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8460324E+001,-1.4798262E+001, 5.1443126E-002, 5.1443126E-002
 6.6060419E+002, 2.3727701E+003,-9.9039830E+002,-4.6804534E+002,-9.1080930E+002,-2.8541305E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6934089E+000, 3.2317578E+000, 5.1443126E-002, 5.1443126E-002
 6.6240698E+002, 2.3259018E+003,-9.8229081E+002,-4.0714198E+002,-9.1114795E+002,-2.8466947E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9600321E+001, 2.5036400E+001, 5.1443126E-002, 5.1443126E-002
 6.6420703E+002, 2.3954970E+003,-1.0126249E+003,-4.3135881E+002,-9.0794641E+002,-2.8471301E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1670239E+001, 4.3282133E+001, 5.1443126E-002, 5.1443126E-002
 6.6600012E+002, 2.3515491E+003,-9.9332476E+002,-4.1382388E+002,-9.2274831E+002,-2.8546474E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0177279E+001, 2.1366656E+001, 5.1443126E-002, 5.1443126E-002
 6.6781763E+002, 2.3771661E+003,-9.7514347E+002,-4.2190967E+002,-9.0499948E+002,-2.8491496E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.3506669E+001, 7.4828591E+001, 5.1443126E-002, 5.1443126E-002
 6.6960333E+002, 2.3559276E+003,-9.6823132E+002,-4.4464484E+002,-9.1290367E+002,-2.8513634E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4693444E+001, 2.9862594E+001, 5.1443126E-002, 5.1443126E-002
 6.7141614E+002, 2.3916689E+003,-9.9017888E+002,-4.0949628E+002,-9.1349442E+002,-2.8508953E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.8937800E+001, 7.8214238E+001, 5.1443126E-002, 5.1443126E-002
 6.7320844E+002, 2.3403651E+003,-9.4869292E+002,-4.5116762E+002,-8.9744946E+002,-2.8431880E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8987690E+001, 4.2770745E+001, 5.1443126E-002, 5.1443126E-002
 6.7500830E+002, 2.4232651E+003,-1.0056204E+003,-4.6992820E+002,-8.9941378E+002,-2.8509952E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7337750E+001, 4.8017561E+001, 5.1443126E-002, 5.1443126E-002
 6.7680103E+002, 2.3738797E+003,-1.0266342E+003,-4.3825519E+002,-9.0886667E+002,-2.8629432E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.7929071E+000,-1.6265990E-001, 5.1443126E-002, 5.1443126E-002
 6.7861633E+002, 2.3592974E+003,-1.0355068E+003,-4.4575087E+002,-9.1252961E+002,-2.8632668E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5233243E+001,-3.4776227E+001, 5.1443126E-002, 5.1443126E-002
 6.8040460E+002, 2.3330151E+003,-1.0074402E+003,-4.6659256E+002,-9.0921915E+002,-2.8506801E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8744805E+001,-5.0521935E+001, 5.1443126E-002, 5.1443126E-002
 6.8220367E+002, 2.3762608E+003,-1.0183147E+003,-4.4453426E+002,-9.1352546E+002,-2.8478977E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4095100E+001,-3.9844221E-001, 5.1443126E-002, 5.1443126E-002
 6.8400714E+002, 2.3640925E+003,-1.0175117E+003,-4.6914436E+002,-9.1194748E+002,-2.8474445E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.8493078E+001,-3.4795790E+001, 5.1443126E-002, 5.1443126E-002
 6.8581287E+002, 2.4055602E+003,-1.0163175E+003,-4.4056251E+002,-9.0874809E+002,-2.8587194E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8210423E+001, 3.9646180E+001, 5.1443126E-002, 5.1443126E-002
 6.8760364E+002, 2.3815747E+003,-1.0062083E+003,-4.4609750E+002,-8.9779929E+002,-2.8588104E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2375462E+001, 3.1183706E+001, 5.1443126E-002, 5.1443126E-002
 6.8940515E+002, 2.3546174E+003,-1.0171269E+003,-4.7188407E+002,-9.0820667E+002,-2.8650317E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0753392E+001,-4.2886692E+001, 5.1443126E-002, 5.1443126E-002
 6.9121411E+002, 2.3434186E+003,-9.8066182E+002,-4.4555990E+002,-9.0545168E+002,-2.8572921E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9933901E-001, 1.1459513E+001, 5.1443126E-002, 5.1443126E-002
 6.9301202E+002, 2.3467779E+003,-9.8280945E+002,-4.8189889E+002,-9.0531950E+002,-2.8440295E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4068165E+001,-2.3534346E+001, 5.1443126E-002, 5.1443126E-002
 6.9480573E+002, 2.4033579E+003,-1.0152573E+003,-4.5066893E+002,-9.0197899E+002,-2.8472793E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4063026E+001, 3.5167893E+001, 5.1443126E-002, 5.1443126E-002
 6.9660022E+002, 2.3650107E+003,-1.0000995E+003,-4.4436910E+002,-9.0554765E+002,-2.8551601E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6843672E+000, 1.4709018E+001, 5.1443126E-002, 5.1443126E-002
 6.9841180E+002, 2.4070394E+003,-9.9666911E+002,-4.5745394E+002,-9.1747138E+002,-2.8563673E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3142795E+001, 3.5159301E+001, 5.1443126E-002, 5.1443126E-002
 7.0020612E+002, 2.3680198E+003,-1.0048707E+003,-4.1630445E+002,-9.2335489E+002,-2.8592852E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3196599E+001, 2.3203831E+001, 5.1443126E-002, 5.1443126E-002
 7.0201971E+002, 2.3470336E+003,-9.8169830E+002,-4.5567330E+002,-9.1898856E+002,-2.8645497E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9997610E+001,-9.6130260E+000, 5.1443126E-002, 5.1443126E-002
 7.0381427E+002, 2.3929742E+003,-9.9760319E+002,-4.5903968E+002,-9.1376376E+002,-2.8561712E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2018613E+001, 2.2281964E+001, 5.1443126E-002, 5.1443126E-002
 7.0561151E+002, 2.3541796E+003,-1.0079012E+003,-4.5426896E+002,-9.1354248E+002,-2.8582835E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8113991E+001,-2.1818852E+001, 5.1443126E-002, 5.1443126E-002
 7.0741864E+002, 2.3438173E+003,-1.0055785E+003,-3.8423735E+002,-9.1311898E+002,-2.8521194E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0628441E+001, 4.0597274E+001, 5.1443126E-002, 5.1443126E-002
 7.0921649E+002, 2.3857326E+003,-1.0454754E+003,-4.7812079E+002,-9.1461609E+002,-2.8596452E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.6285304E+001,-5.2765637E+001, 5.1443126E-002, 5.1443126E-002
 7.1101764E+002, 2.4005081E+003,-1.0310483E+003,-4.3092319E+002,-9.0823152E+002,-2.8554742E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1680545E+001, 3.0019534E+001, 5.1443126E-002, 5.1443126E-002
 7.1280096E+002, 2.3927531E+003,-1.0410724E+003,-4.6401161E+002,-9.0453707E+002,-2.8684581E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8794983E+001,-1.7154808E+001, 5.1443126E-002, 5.1443126E-002
 7.1460522E+002, 2.3544265E+003,-9.7858164E+002,-4.8133998E+002,-8.9166795E+002,-2.8643617E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.5151034E+000, 2.5504613E+000, 5.1443126E-002, 5.1443126E-002
 7.1641156E+002, 2.3540787E+003,-1.0032460E+003,-4.3853698E+002,-9.0029344E+002,-2.8539992E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.8307011E+000, 1.1716896E+001, 5.1443126E-002, 5.1443126E-002
 7.1820831E+002, 2.3493634E+003,-1.0041559E+003,-4.5026744E+002,-9.0272687E+002,-2.8540419E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6028369E+001,-8.0721666E+000, 5.1443126E-002, 5.1443126E-002
 7.2000696E+002, 2.3835990E+003,-1.0261977E+003,-4.6919277E+002,-8.9885180E+002,-2.8549670E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1579567E+001,-1.0928795E+001, 5.1443126E-002, 5.1443126E-002
 7.2180597E+002, 2.3260003E+003,-9.8585622E+002,-4.4759172E+002,-8.9136927E+002,-2.8476322E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3392487E+001, 8.9837083E-001, 5.1443126E-002, 5.1443126E-002
 7.2361066E+002, 2.4111453E+003,-1.0282813E+003,-4.7037049E+002,-9.0163903E+002,-2.8485649E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5636358E+000, 1.0569656E+001, 5.1443126E-002, 5.1443126E-002
 7.2541687E+002, 2.3628601E+003,-9.9499310E+002,-4.4824333E+002,-8.9990698E+002,-2.8485446E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9044225E+000, 1.9431875E+001, 5.1443126E-002, 5.1443126E-002
 7.2720764E+002, 2.3691152E+003,-9.9772539E+002,-4.3603827E+002,-9.0600862E+002,-2.8576516E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0090343E+001, 2.9057184E+001, 5.1443126E-002, 5.1443126E-002
 7.2901617E+002, 2.3492941E+003,-9.7403392E+002,-4.4325515E+002,-9.1114517E+002,-2.8492339E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0660185E+001, 2.0574981E+001, 5.1443126E-002, 5.1443126E-002
 7.3080267E+002, 2.4127963E+003,-1.0263239E+003,-4.5350262E+002,-9.0801647E+002,-2.8577575E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9196606E+001, 2.4667463E+001, 5.1443126E-002, 5.1443126E-002
 7.3260706E+002, 2.3683196E+003,-1.0005542E+003,-4.7608327E+002,-9.0921714E+002,-2.8609025E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3975072E+001,-1.7821060E+001, 5.1443126E-002, 5.1443126E-002
